Title,Date,Category,Link
Doctor Sentenced For Unlawful Distribution Of Oxycodone,2024-04-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-unlawful-distribution-of-oxycodone/
Long Island Man Sentenced to 8 Years in Prison for Prescription Drug Diversion Scheme,2024-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/long-island-man-sentenced-to-8-years-in-prison-for-prescription-drug-diversion-scheme/
Attorney General Ford Announces Sentencing Of Behavioral Health Company Employee,2024-04-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-behavioral-health-company-employee/
Leader of Multimillion-Dollar Clinic Scam Resentenced for Health Care and Tax Fraud Conspiracy,2024-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/leader-of-multimillion-dollar-clinic-scam-resentenced-for-health-care-and-tax-fraud-conspiracy/
"Pittsburgh Health Care Facility Owner Indicted on 33 Counts, Including Fraud, Money Laundering, and Making False Statements Related to Health Care Matters",2024-04-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-health-care-facility-owner-indicted-on-33-counts-including-fraud-money-laundering-and-making-false-statements-related-to-health-care-matters/
Pharmacy Owner Sentenced To Four Years In Prison For Health Care Fraud,2024-04-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-to-four-years-in-prison-for-health-care-fraud/
Clinic Owner Sent To Prison For Orchestrating $15M Medicare Fraud And Kickback Scheme,2024-04-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/clinic-owner-sent-to-prison-for-orchestrating-15m-medicare-fraud-and-kickback-scheme/
Attorney General Bailey’s Medicaid Fraud Control Unit Earns National Recognition For Effectiveness,2024-04-22,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-baileys-medicaid-fraud-control-unit-earns-national-recognition-for-effectiveness/
"PRC-Saltillo Agreed to Pay $222,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-04-22,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/prc-saltillo-agreed-to-pay-222000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Precision Dose Agreed to Pay $75,000 for Allegedly Violating the Civil Monetary Penalties Law by Failing to Submit Timely Pricing Data",2024-04-23,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/precision-dose-agreed-to-pay-75000-for-allegedly-violating-the-civil-monetary-penalties-law-by-failing-to-submit-timely-pricing-data/
Owner Of Burbank-Based Blood Testing Laboratory Indicted For Allegedly Evading The Payment Of Nearly $5.8 Million In Taxes,2024-04-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-burbank-based-blood-testing-laboratory-indicted-for-allegedly-evading-the-payment-of-nearly-58-million-in-taxes/
Carr: Hart County Man Pleads Guilty To Elder Exploitation,2024-04-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-hart-county-man-pleads-guilty-to-elder-exploitation/
Attorney General Moody Announces Arrest Of Two Seminole County Residents For Medicaid Fraud,2024-04-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-two-seminole-county-residents-for-medicaid-fraud/
Doctor Charged With Unlawfully Distributing Controlled Substances And Health Care Fraud,2024-04-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-charged-with-unlawfully-distributing-controlled-substances-and-health-care-fraud/
Doctor Indicted On Charges Of Unlawfully Distributing Controlled Substances And Health Care Fraud,2024-04-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-indicted-on-charges-of-unlawfully-distributing-controlled-substances-and-health-care-fraud/
Laboratory Owners Charged In $36M COVID-19 Testing Fraud Scheme,2024-04-24,COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/laboratory-owners-charged-in-36m-covid-19-testing-fraud-scheme/
"Laredo Medical Center Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-04-25,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/laredo-medical-center-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"Iowa Nurse Practitioner Agrees To Pay Over $50,000 To Resolve Suit Alleging Fraudulent Durable Medical Equipment (DME) Prescriptions, Kickbacks",2024-04-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/iowa-nurse-practitioner-agrees-to-pay-over-50000-to-resolve-suit-alleging-fraudulent-durable-medical-equipment-dme-prescriptions-kickbacks/
California-Based Nursing Home Chain And Two Executives To Pay $7M To Settle Alleged False Claims For Nursing Home Residents Who Merely Had Been Near Other People With COVID-19,2024-04-26,COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-based-nursing-home-chain-and-two-executives-to-pay-7m-to-settle-alleged-false-claims-for-nursing-home-residents-who-merely-had-been-near-other-people-with-covid-19/
San Gabriel Valley-Based Nursing Home Chain and Executives to Pay Over $7 Million to Settle COVID-Related False Claims Allegations,2024-04-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/san-gabriel-valley-based-nursing-home-chain-and-executives-to-pay-over-7-million-to-settle-covid-related-false-claims-allegations/
Leader Of $50 Million Health Care Fraud Pleads Guilty,2024-04-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/leader-of-50-million-health-care-fraud-pleads-guilty/
Doctor Convicted For $5.4M Medicare Fraud Scheme,2024-04-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-for-54m-medicare-fraud-scheme/
Troy Woman Pleads Guilty to Yearslong Fraud to Obtain Benefits,2024-04-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/troy-woman-pleads-guilty-to-yearslong-fraud-to-obtain-benefits/
Attorney General Alan Wilson Announces Arrest Of Three People Accused Of Stealing From Sumter Assisted Living Resident,2024-04-29,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-three-people-accused-of-stealing-from-sumter-assisted-living-resident/
Laboratory Marketer And North Carolina Physicians Agree To Pay Over $1.3M To Settle Kickback Allegations,2024-04-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/laboratory-marketer-and-north-carolina-physicians-agree-to-pay-over-13m-to-settle-kickback-allegations/
Justice Department Recovers Fraudulent Transfer Of Proceeds Arising From Kickback Scheme,2024-04-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/justice-department-recovers-fraudulent-transfer-of-proceeds-arising-from-kickback-scheme/
"Attorney General Alan Wilson Announces Arrest Of Washington, DC Man Accused Of Fraud Against Vulnerable Adult In Upstate SC",2024-04-29,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-washington-dc-man-accused-of-fraud-against-vulnerable-adult-in-upstate-sc/
"Gastroenterology Associates of Southwest Florida Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-04-30,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/gastroenterology-associates-of-southwest-florida-agreed-to-pay-69000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Staffing Company To Pay $2.7M For Alleged Failure To Provide Adequate Cybersecurity For COVID-19 Contact Tracing Data,2024-05-01,COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/staffing-company-to-pay-27m-for-alleged-failure-to-provide-adequate-cybersecurity-for-covid-19-contact-tracing-data/
Elara Caring Agrees To Pay $4.2 Million To Settle False Claims Act Allegations That It Billed Medicare For Ineligible Hospice Patients,2024-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/elara-caring-agrees-to-pay-42-million-to-settle-false-claims-act-allegations-that-it-billed-medicare-for-ineligible-hospice-patients/
